,bank,bank_name,bank_code,atm,atm_detail,address,ward,district,ward_level,district_level,unnamed,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,number_of_results,status
705,Vietinbank,Ngan hang TMCP Cong thuong Viet Nam,45,CN TP Ha Noi,ATM,"29 Ly Thuong Kiet, Hang Bai, Hoan Kiem, Ha noi,Viet Nam",Phuong Hang Bai,Quan Hoan Kiem,Phuong,Quan ,71,"29 Lý Thường Kiệt, Hàng Bài, Hoàn Kiếm, Hà Nội, Vietnam",21.0223764,105.8533872,ROOFTOP,ChIJrxE_3eyrNTERj3ZtcJ7O0qA,street_address,0,1,OK
706,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990022 - ATM 29 Nguyen Dinh Chieu,ATM,"29 Nguyen Dinh Chieu, P. Le Dai Hanh, Quan Hai Ba Trung, TP. Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,144,"29 P. Nguyễn Đình Chiểu, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.0146566,105.8472391,ROOFTOP,ChIJ4aP8G4yrNTER8mmK4sYNggc,street_address,0,1,OK
707,DongA Bank,Ngan hang TMCP Dong A,12,DongA Bank - PGD Long Bien,ATM,"290 Nguyen Van Cu, Phuong Bo De, Quan Long Bien, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Bo De,Quan Long Bien,Phuong,Quan ,145,"290 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội, Vietnam",21.0446365,105.8747309,ROOFTOP,ChIJf0yAE9arNTERf041SgY1n9U,premise,0,1,OK
708,Eximbank,Ngan hang TMCP Xuat Nhap Khau,13,CN Dong Da:,ATM,"292 Tay Son, P.Trung Liet, Q.Dong Da, Tp.Ha Noi,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,146,"292 Tây Sơn, Trung Liệt, Đống Đa, Hà Nội, Vietnam",21.0071439,105.8229003,ROOFTOP,ChIJgcupf4GsNTERRHzJARlLRx4,"establishment,point_of_interest",0,1,OK
709,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,VPBank Kinh Do ATM,ATM,"292 Tay Son, phuong Trung Liet, quan Dong Da, HN,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,374,"Tòa nhà Kinh Đô, 292 Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội, Vietnam",21.0070477,105.8228378,ROOFTOP,ChIJ11qH1IOsNTERQLMnRvDz2r8,premise,0,1,OK
710,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,"ATM 292 Tay Son, Dong Da, HN ATM",ATM,"292, Tay Son, PHUONG TRUNG LIET, DONG DA, HA NOI,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,375,"Tòa nhà Kinh Đô, 292 Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội, Vietnam",21.0070477,105.8228378,ROOFTOP,ChIJ11qH1IOsNTERQLMnRvDz2r8,premise,0,1,OK
711,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"296 Nghi Tam, Tay Ho, Ha Noi,Viet Nam",Phuong Yen Phu,Quan Tay Ho,Phuong,Quan ,124,"296 Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội, Vietnam",21.057528,105.835606,ROOFTOP,ChIJ5aGbelOqNTER_LJPl_hLebM,street_address,0,1,OK
712,VIB,Ngan hang TMCP Quoc Te,41,ATM412,ATM,"296 Nguyen Van Cu, Phuong Bo De, quan Long Bien, Ha Noi,Viet Nam",Phuong Bo De,Quan Long Bien,Phuong,Quan ,88,"296 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội, Vietnam",21.044746,105.8746506,ROOFTOP,ChIJxW0WE9arNTERF1Q1R421Qpw,premise,0,1,OK
713,Techcombank,Ngan hang TMCP Ky Thuong,36,Techcombank Cho Mo,ATM,"297 Bach Mai, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Bach Mai,Quan Hai Ba Trung,Phuong,Quan ,89,"297 Bạch Mai, Hai Bà Trưng, Hà Nội, Vietnam",21.0021737,105.8508639,ROOFTOP,ChIJI9bxmXSsNTERkqDt54Fy0oA,street_address,0,1,OK
714,LienVietPostBank,Ngan hang TMCP Buu dien Lien Viet,19,CN Dong Do ,ATM,"297 Kim Ma, P.Giang Vo, Q.Ba Dinh, TP.Ha Noi ,Viet Nam",Phuong Giang Vo,Quan Ba Dinh,Phuong,Quan ,147,"297 Kim Mã, Giảng Võ, Ba Đình, Hà Nội, Vietnam",21.0305013,105.8182187,ROOFTOP,ChIJUTqjjnKrNTERVxE7sIkztqc,"atm,establishment,finance,point_of_interest",0,1,OK
715,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC 299 Cau Giay,ATM,"299 Cau Giay, P Dich Vong, Q Cau Giay,Viet Nam",Phuong Dich Vong,Quan Cau Giay,Phuong,Quan ,72,"Tầng 2 & 3, Tòa nhà CTM 299 Cầu Giấy,, Phường Dịch Vọng, Quận Cầu Giấy, Dịch Vọng, Hà Nội, 100000, Vietnam",21.0348401,105.7936212,GEOMETRIC_CENTER,ChIJ-URHD0irNTER8FmvRwGt4ec,"establishment,point_of_interest",100000,1,OK
716,Eximbank,Ngan hang TMCP Xuat Nhap Khau,13,PGD Ba Trieu:,ATM,"2C Thai Phien, Q.Hai Ba Trung, Tp Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,150,"2C Thái Phiên, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.010573,105.851362,ROOFTOP,ChIJ57xFIYurNTEReOG9mHw0jk0,street_address,0,1,OK
717,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"3 Kim Dong, Hoang Mai, Ha Noi,Viet Nam",Phuong Giap Bat,Quan Hoang Mai,Phuong,Quan ,125,"3 Kim Đồng, Giáp Bát, Thanh Xuân, Hà Nội, Vietnam",20.983782,105.841899,ROOFTOP,ChIJyxouv0KsNTER68VIfzA6VtE,street_address,0,1,OK
718,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,ATM Trung tam giao duc Thanh thieu nien ATM,ATM,"3 Nguyen Quy Duc, Thanh Xuan, Ha Noi,Viet Nam",Phuong Thanh Xuan Bac,Quan Thanh Xuan,Phuong,Quan ,376,"3 Nguyễn Quý Đức, Thanh Xuân Bắc, Thanh Xuân, Hà Nội, Vietnam",20.990838,105.8001331,ROOFTOP,ChIJRbk4I7msNTERkrtu2EG2Ryc,street_address,0,1,OK
719,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC PGD Lang Ha,ATM,"30 - 32 Lang Ha, P Lang Ha, Q Dong Da,Viet Nam",Phuong Lang Ha,Quan Dong Da,Phuong,Quan ,75,"Láng Hạ, Đống Đa, Hà Nội, Vietnam",21.0168259,105.815227,GEOMETRIC_CENTER,EitMw6FuZyBI4bqhLCDEkOG7kW5nIMSQYSwgSMOgIE7hu5lpLCBWaWV0bmFtIi4qLAoUChIJHXPFm2SrNTER5KfCs4pqv5ASFAoSCevpixeCqzUxEXW9Sa7-BJFC,route,0,1,OK
720,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"30 Le Dai Hanh, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,126,"30 Phố Lê Đại Hành, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.0102242,105.8496859,ROOFTOP,ChIJk3AM_4qrNTER75OEQNS47_I,street_address,0,1,OK
721,ACB,Ngan hang TMCP A Chau,2,"ATM, PGD LIEU GIAI",ATM,"30 Lieu Giai, P. Cong Vi, Quan Ba Dinh, Ha Noi,Viet Nam",Phuong Cong Vi,Quan Ba Dinh,Phuong,Quan ,37,"54 Liễu Giai, Cống Vị, Ba Đình, Hà Nội 117000, Vietnam",21.0320799,105.8125956,ROOFTOP,ChIJ4cec9WyrNTERjlkoX2WCg-k,"establishment,point_of_interest,shopping_mall",117000,1,OK
722,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC - Nha may in tien QG,ATM,"30 Pham Van Dong, Cau Giay, HN,Viet Nam",Phuong Dich Vong,Quan Cau Giay,Phuong,Quan ,76,"30 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội, Vietnam",21.0435616,105.781563,ROOFTOP,ChIJ52tTrsxUNDERbF-BId0zk1A,premise,0,1,OK
723,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8, 220006 - ATM PGD Pham Van Dong ,ATM,"30 Pham Van Dong,Phuong Co Nhue 2,Quan Bac Tu Liem, Thanh pho Ha Noi,Thanh pho Ha Noi,Viet Nam",Phuong Co Nhue 2,Quan Bac Tu Liem,Phuong,Quan ,151,"30 Phạm Văn Đồng, Xuân Đỉnh, Từ Liêm, Hà Nội, Vietnam",21.078305,105.7871643,ROOFTOP,ChIJ38hS78uqNTER6JWMiIdonCE,street_address,0,1,OK
724,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"300 Ngoc Hoi, Thanh Tri, Ha Noi,Viet Nam",Thi tran Van Dien,Huyen Thanh Tri,Thi tran,Huyen ,127,"300 Đ. Ngọc Hồi, Văn Điển, Thanh Trì, Hà Nội, Vietnam",20.9499917,105.8437309,ROOFTOP,ChIJnVTRf7qtNTERiTuQxPmVgYc,premise,0,1,OK
725,TPBank,Ngan hang TMCP Tien Phong,37,ATM Hai Ba Trung,ATM,"300-302 Tran Khat Chan, Pho Hue, Hai Ba Trung, HN,Viet Nam",Phuong Dong Mac,Quan Hai Ba Trung,Phuong,Quan ,91,"300-302 Trần Khát Chân, Đống Mác, Hai Bà Trưng, Hà Nội, Vietnam",21.009993,105.858892,ROOFTOP,ChIJn2I3hParNTER76_e5kk0OZc,street_address,0,1,OK
726,Sacombank,Ngan hang TMCP Sai Gon Thuong Tin,29,ATM 1121-PGD Mai Dong,ATM,"302 Minh Khai, Phuong Minh Khai, Quan Hai Ba Trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,77,"302 Minh Khai, Hai Bà Trưng, Hà Nội, Vietnam",20.9957,105.860726,ROOFTOP,ChIJ7Sg4MA6sNTERcr-qSyFJ19M,street_address,0,1,OK
727,Vietinbank,Ngan hang TMCP Cong thuong Viet Nam,45,CN Ba Dinh,ATM,"303 Lac long Quan, Nghia Do, Cau Giay, Ha Noi,Viet Nam",Phuong Nghia Do,Quan Cau Giay,Phuong,Quan ,77,"303 Đ. Lạc Long Quân, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam",21.052886,105.809098,ROOFTOP,ChIJr-8b2x6rNTERrD_ISJJnjIc,street_address,0,1,OK
728,ACB,Ngan hang TMCP A Chau,2,"ATM, ATM PGD HA DONG",ATM,"30-30A Quang Trung, P.Quang Trung, Q.Ha Dong, TP.Ha Noi,Viet Nam",Phuong Quang Trung,Quan Ha Dong,Phuong,Quan ,38,"30 Đường Quang Trung, P. Nguyễn Trãi, Hà Đông, Hà Nội, Vietnam",20.9713052,105.775947,ROOFTOP,ChIJnR4tCpKrNTERHvf7Mg3XuyM,"bank,establishment,finance,point_of_interest",0,2,OK
729,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,Sieu thi Thanh Do ATM,ATM,"306 Ho Tung Mau, Tu Liem, Ha Noi,Viet Nam",Phuong Cau Dien,Quan Nam Tu Liem,Phuong,Quan ,377,"306 Đường Hồ Tùng Mậu, Cầu Diễn, Bắc Từ Liêm, Hà Nội, Vietnam",21.0408577,105.7645303,ROOFTOP,ChIJIy7BMsdUNDERF3wbuoBsefE,street_address,0,1,OK
730,DongA Bank,Ngan hang TMCP Dong A,12,DongA Bank - PGD Cau Giay,ATM,"31 Tran Thai Tong, Phuong Dich Vong, Quan Cau Giay, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Dich Vong,Quan Cau Giay,Phuong,Quan ,152,"31 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam",21.0351169,105.7894238,ROOFTOP,ChIJoRsmwEmrNTER23staXSXuM8,street_address,0,1,OK
731,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Tru so SGD VCB,ATM,"31-33 Ngo Quyen, P Hang Bai, Q Hoan Kiem,Viet Nam",Phuong Hang Bai,Quan Hoan Kiem,Phuong,Quan ,78,"31-33 P. Ngô Quyền, Hàng Bài, Hoàn Kiếm, Hà Nội, Vietnam",21.0231388,105.8547931,ROOFTOP,ChIJmwhAjeyrNTERiOhmLonuxIk,"bank,establishment,finance,point_of_interest",0,1,OK
732,Techcombank,Ngan hang TMCP Ky Thuong,36,Techcombank Ba Trieu,ATM,"316 Tran Khat Tran, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Thanh Nhan,Quan Hai Ba Trung,Phuong,Quan ,92,"340-342 Trần Khát Trân, 342 Trần Khát Chân, Thanh Nhàn, Hai Bà Trưng, Hà Nội, Vietnam",21.00929,105.8583457,ROOFTOP,ChIJeTvZ1fWrNTERNQYtZmE8XHo,"establishment,point_of_interest,transit_station",0,1,OK
733,SCB,Ngan hang TMCP Sai Gon,31,PGD KHAM THIEN,ATM,"318 Xa Dan, Phuong Phuong Lien, Quan Dong Da, Thanh Pho Ha Noi,Viet Nam",Phuong Phuong Lien,Quan Dong Da,Phuong,Quan ,78,"318 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội, Vietnam",21.0134918,105.8351922,ROOFTOP,ChIJcwpStIarNTEROb7BaVLSdHE,street_address,0,1,OK
734,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Kho bac Nha nuoc,ATM,"32 Cat Linh, P Cat Linh, Q Dong Da,Viet Nam",Phuong Cat Linh,Quan Dong Da,Phuong,Quan ,79,"32 Cát Linh, Đống Đa, Hà Nội, Vietnam",21.0296299,105.8302916,ROOFTOP,ChIJZ2nAyp-rNTERVYbYU0Hcox8,"establishment,finance,point_of_interest",0,1,OK
735,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,Tong Cong ty Van tai Ha Noi ATM,ATM,"32 Nguyen Cong Tru, phuong Ngo Thi Nham, quan Hai Ba Trung, HN,Viet Nam",Phuong Ngo Thi Nham,Quan Hai Ba Trung,Phuong,Quan ,378,"32 Nguyễn Công Trứ, Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội, Vietnam",21.0139753,105.8530589,ROOFTOP,ChIJIyr2T_OrNTERLfTuk5HbRxw,street_address,0,1,OK
736,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC - PGD So 02,ATM,"32 Quang Trung, Quan Hoan Kiem, Ha Noi,Viet Nam",Phuong Tran Hung Dao,Quan Hoan Kiem,Phuong,Quan ,80,"32 Quang Trung, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Vietnam",21.020529,105.848129,ROOFTOP,ChIJ5zcqa5KrNTERVKGdjlxYLmk,street_address,0,1,OK
737,HDBANK,Ngan hang TMCP Phat trien Thanh pho Ho Chi Minh,15,CN Hoan Kiem,0,"32 Tran Hung Dao, Phuong Phan Chau Trinh, Quan Hoan Kiem, TP Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,153,"32 Trần Hưng Đạo, Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.0205919,105.854465,ROOFTOP,ChIJG7gtEe2rNTERzSSzeMagUoI,premise,0,1,OK
738,VIB,Ngan hang TMCP Quoc Te,41,ATM534,ATM,"32 Tran Nhan Tong, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Bui Thi Xuan,Quan Hai Ba Trung,Phuong,Quan ,93,"32 Trần Nhân Tông, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội, Vietnam",21.016997,105.85004,ROOFTOP,ChIJk4RqD42rNTERngLt8VIUY8s,street_address,0,1,OK
739,ACB,Ngan hang TMCP A Chau,2,"ATM, PGD TRAN QUOC HOAN",ATM,"32 Tran Quoc Hoan, To 1, P.Dich Vong Hau, Q.Cau Giay, TP.Ha Noi,Viet Nam",Phuong Dich Vong Hau,Quan Cau Giay,Phuong,Quan ,39,"32 Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam",21.0417769,105.7865665,RANGE_INTERPOLATED,Ek0zMiBUcuG6p24gUXXhu5FjIEhvw6BuLCBE4buLY2ggVuG7jW5nIEjhuq11LCBD4bqndSBHaeG6pXksIEjDoCBO4buZaSwgVmlldG5hbSIaEhgKFAoSCSl7Mm00qzUxEdyZUwKIOQhmECA,street_address,0,2,OK
740,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,199001 - ATM PGD Ham Long,ATM,"33 Ham Long, Hang Bai, Hoan Kiem, Ha Noi,Viet Nam",Phuong Hang Bai,Quan Hoan Kiem,Phuong,Quan ,154,"33 P.Hàm Long, Hàng Bài, Hoàn Kiếm, Hà Nội, Vietnam",21.0195275,105.8523014,ROOFTOP,ChIJu_YJspKrNTERmxYXZ4EM5Ow,street_address,0,1,OK
741,VIB,Ngan hang TMCP Quoc Te,41,ATM079,ATM,"33 Pho Hue, P. Hang Bai, Q. Hoan Kiem, Ha Noi,Viet Nam",Phuong Hang Bai,Quan Hoan Kiem,Phuong,Quan ,94,"33 Phố Huế, Hàng Bài, Hai Bà Trưng, Hà Nội, Vietnam",21.0185732,105.85177,ROOFTOP,ChIJGQJIV42rNTERVrvcaQdmlMw,premise,0,1,OK
742,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,Chung cu 335 Cau Giay ATM,ATM,"335 Cau Giay, phuong Dich Vong, quan Cau Giay, HN,Viet Nam",Phuong Dich Vong,Quan Cau Giay,Phuong,Quan ,379,"335 Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam",21.0353101,105.7918616,ROOFTOP,ChIJ45rKJUirNTERut8-TqROL2s,street_address,0,1,OK
743,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Dai hoc Khoa hoc xa hoi nhan van,ATM,"336 Nguyen Trai, P Thanh Xuan Trung, Q Thanh Xuan,Viet Nam",Phuong Thanh Xuan Trung,Quan Thanh Xuan,Phuong,Quan ,82,"336 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Vietnam",20.995056,105.8077772,ROOFTOP,ChIJfXfnQpasNTERktdNDNoDJEE,"establishment,point_of_interest,university",0,1,OK
744,Techcombank,Ngan hang TMCP Ky Thuong,36,Techcombank Bat Dan,ATM,"34 Bat Dan, Hoan Kiem, Ha Noi,Viet Nam",Phuong Hang Bo,Quan Hoan Kiem,Phuong,Quan ,95,"34 Bát Đàn, Hàng Bồ, Hoàn Kiếm, Hà Nội, Vietnam",21.0338142,105.8474342,ROOFTOP,ChIJmUfHfb6rNTERulLDkzG8EuM,street_address,0,1,OK
745,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,VPBank So Giao Dich ATM,ATM,"34 Hai Ba Trung, phuong Trang Tien, quan Hoan Kiem, HN,Viet Nam",Phuong Trang Tien,Quan Hoan Kiem,Phuong,Quan ,380,"34 Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội, Vietnam",21.0246805,105.8523895,ROOFTOP,ChIJf2KGqpSrNTERlnZkzq__ugk,premise,0,1,OK
746,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,"34 Hang Ga, Hoan Kiem, HN ATM",ATM,"34 Hang Ga, Hang Bo, Hoan Kiem,Viet Nam",Phuong Hang Bo,Quan Hoan Kiem,Phuong,Quan ,381,"34 Hàng Gà, Hàng Bồ, Hoàn Kiếm, Hà Nội, Vietnam",21.0350913,105.8468387,ROOFTOP,ChIJK6z4nr6rNTER-rEGL1yr2r0,premise,0,1,OK
747,VIB,Ngan hang TMCP Quoc Te,41,ATM533,ATM,"34 Hang Tre, Hoan Kiem, Ha Noi,Viet Nam",Phuong Ly Thai To,Quan Hoan Kiem,Phuong,Quan ,96,"34 Hàng Tre, Lý Thái Tổ, Hoàn Kiếm, Hà Nội, Vietnam",21.0321396,105.8555537,ROOFTOP,ChIJwcTAssGrNTERLWrDD4RR9d4,street_address,0,1,OK
748,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990065 - ATM 34 Lang Ha,ATM,"34 Lang Ha, Dong Da, Ha Noi,Viet Nam",Phuong Lang Ha,Quan Dong Da,Phuong,Quan ,156,"34 Láng Hạ, Đống Đa, Hà Nội, Vietnam",21.0147396,105.8131976,ROOFTOP,ChIJhy7QumOrNTERbk7wbdvyi6Y,street_address,0,1,OK
749,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"34 To Hieu, Nguyen Trai, Ha Dong, Ha Noi,Viet Nam",Phuong Nguyen Trai,Quan Ha Dong,Phuong,Quan ,128,"34 Đ. Tô Hiệu, P. Nguyễn Trãi, Hà Đông, Hà Nội, Vietnam",20.9691378,105.7805519,ROOFTOP,ChIJ8yJOlSpTNDER8hQSl26rLh4,street_address,0,1,OK
750,DongA Bank,Ngan hang TMCP Dong A,12,DongA Bank - PGD Bach Mai,ATM,"34 Tran Dai Nghia, Phuong Dong Tam, Quan Hai Ba Trung, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Dong Tam,Quan Hai Ba Trung,Phuong,Quan ,157,"34 Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam",21.0023697,105.8446542,ROOFTOP,ChIJ98H7zHasNTERUeXISM_GU5E,street_address,0,1,OK
751,Pgbank,Ngan hang TMCP Xang dau Petrolimex,26,ATM Kham Thien,ATM,"340 Kham Thien, Tho Quan, Dong Da, Ha Noi,Viet Nam",Phuong Tho Quan,Quan Dong Da,Phuong,Quan ,79,"340 Khâm Thiên, Thổ Quan, Đống Đa, Hà Nội, Vietnam",21.0194503,105.8325492,ROOFTOP,ChIJTf_POYOrNTERk4kPT9k1Hew,street_address,0,1,OK
752,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC 344 Ba Trieu,ATM,"344 Ba Trieu, Q Hai Ba Trung, Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,83,"344 Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.0088448,105.8488962,ROOFTOP,ChIJd9B-ZoqrNTERbN856A_-Hq0,street_address,0,1,OK
753,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"345 Lac Long Quan, Tay Ho, Ha Noi,Viet Nam",Phuong Nghia Do,Quan Cau Giay,Phuong,Quan ,129,"345 Đ. Lạc Long Quân, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam",21.054457,105.808892,ROOFTOP,ChIJRzvw-x6rNTERmFzLm59otvs,street_address,0,1,OK
754,Techcombank,Ngan hang TMCP Ky Thuong,36,Nha khach Dan toc,ATM,"349 Doi Can, Ba Dinh, Ha Noi,Viet Nam",Phuong Cong Vi,Quan Ba Dinh,Phuong,Quan ,97,"349 Đội Cấn, Liễu Giai, Ba Đình, Hà Nội, Vietnam",21.0369497,105.815958,ROOFTOP,ChIJ7z1nYBKrNTER29n9xvSf18o,premise,0,1,OK
755,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"349 Pho Hue, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Ngo Thi Nham,Quan Hai Ba Trung,Phuong,Quan ,130,"349 Phố Huế, Hai Bà Trưng, Hà Nội, Vietnam",21.009214,105.8515668,ROOFTOP,ChIJwVfqxIqrNTERhy5cdJixn8k,street_address,0,1,OK
756,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC 34B Tran Phu,ATM,"34B Tran Phu, P Dien Bien, Q Ba Dinh,Viet Nam",Phuong Dien Bien,Quan Ba Dinh,Phuong,Quan ,84,"34B, Phố, Trần Phú, Điện Bàn, Ba Đình, Hà Nội, Vietnam",21.0304521,105.8432756,GEOMETRIC_CENTER,ChIJi0gJOZarNTERry3kHcKJSQ4,"establishment,point_of_interest",0,1,OK
757,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,VPBank Thu Do ATM,ATM,"34B Tran Phu, phuong Dien Bien, quan Ba Dinh, HN,Viet Nam",Phuong Dien Bien,Quan Ba Dinh,Phuong,Quan ,382,"34B Trần Phú, Điện Bàn, Ba Đình, Hà Nội, Vietnam",21.0304733,105.8431508,ROOFTOP,ChIJ016yzperNTERJszfkuDI-1o,street_address,0,1,OK
758,Sea Bank,Ngan hang TMCP Dong Nam A,32,ATM Sieu thi TopCare,ATM,"35 Cau Giay, Ha Noi,Viet Nam",Phuong Ngoc Khanh,Quan Ba Dinh,Phuong,Quan ,98,"35 Cầu Giấy, Láng Thượng, Ba Đình, Hà Nội, Vietnam",21.0298892,105.8026945,ROOFTOP,ChIJfUjrgUGrNTERf1MvrCr9hWE,street_address,0,1,OK
759,BaoVietBank,Ngan hang TMCP Bao Viet,7,ATM 35 Hai Ba Trung,ATM,"35 Hai Ba Trung, Q. Hoan Kiem,Viet Nam",Phuong Trang Tien,Quan Hoan Kiem,Phuong,Quan ,324,"35 Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội, Vietnam",21.0246773,105.8508806,ROOFTOP,ChIJL5MQX5OrNTER9kLTMrKEXPc,street_address,0,1,OK
760,Sacombank,Ngan hang TMCP Sai Gon Thuong Tin,29,ATM 2004-PGD Phuong Mai,ATM,"35 Luong Dinh Cua, Phuong Mai, Dong Da, Ha Noi,Viet Nam",Phuong Phuong Mai,Quan Dong Da,Phuong,Quan ,80,"35 Phố Lương Định Của, Phương Mai, Đống Đa, Hà Nội, Vietnam",21.004003,105.835925,ROOFTOP,ChIJqe9oRHmsNTERRRMWARtw9zU,street_address,0,1,OK
761,SCB,Ngan hang TMCP Sai Gon,31,PGD LANG HA,ATM,"35 Pho Huynh Thuc Khang, Phuong Lang Ha, Quan Dong Da, Thanh Pho Ha Noi,Viet Nam",Phuong Lang Ha,Quan Dong Da,Phuong,Quan ,81,"68 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội, Vietnam",21.0193669,105.8074382,ROOFTOP,ChIJwVHLKLmrNTER7Hfj3r2UQWQ,"establishment,point_of_interest",0,1,OK
762,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Sieu Thi Thanh Do,ATM,"352 Giai Phong, Thanh Xuan, Ha Noi,Viet Nam",Phuong Phuong Liet,Quan Thanh Xuan,Phuong,Quan ,99,"352 Giải Phóng, Phương Liệt, Thanh Xuân, Hà Nội, Vietnam",20.988173,105.8406343,ROOFTOP,ChIJ8_4AgWisNTERUgtQxe6vrZE,street_address,0,1,OK
763,Eximbank,Ngan hang TMCP Xuat Nhap Khau,13,Benh vien Quan Y:,ATM,"354 120 Pho Doc Ngu, P.Vinh Phuc, Q.Ba Dinh, Ha Noi,Viet Nam",Phuong Vinh Phuc,Quan Ba Dinh,Phuong,Quan ,158,"120 Đốc Ngữ, Vĩnh Phú, Ba Đình, Hà Nội, Vietnam",21.039478,105.8125789,ROOFTOP,ChIJB6u7WRGrNTERmpYIXl-6BUA,"establishment,health,hospital,point_of_interest",0,1,OK
